"COLLEGE_CODE","PROGRAM_CODE","PROGRAM_DESC","MAJOR_CODE","MAJOR_DESC","KPI_DEGREE","KPI_DIVISION"
"2","2A03885","AA Political Science","5830","Political Science","Political Science","Social Science"
"1","1C21109","Automotive Technology","0101","Automotive Technology","Cypress College Degree","Cypress College Division"
"1","1C14403N","Basic Airline Customer Service","0103","Basic Airline Customer Service","Cypress College Degree","Cypress College Division"
"1","1S03761","Accounting","0040","Accounting","Cypress College Degree","Cypress College Division"
"1","1C21115F","Diagnostic Medical Sonography","2421","Diagnostic Medical Sonography","Cypress College Degree","Cypress College Division"
"1","1C33369N","Court Reporting Technology","0163","Court Reporting Technology","Cypress College Degree","Cypress College Division"
"1","1C21117T","Dental Assisting","2291","Dental Assisting","Cypress College Degree","Cypress College Division"
"2","2C36690","Cyber Security Master","8660","Cyber Security Master","Computer Information Systems","Business"
"2","2A03884","AA Geography","5520","Geography","Geography","Social Science"
"1","1S03771","Automotive Technology","0100","Automotive Technology","Cypress College Degree","Cypress College Division"
"2","2A16970","AA Early Elementary Education","8310","Elementary Education","Child Development and Education Studies","Social Science"
"1","1C21110","Automotive Collision Repair","2611","Auto Collision Repair","Cypress College Degree","Cypress College Division"
"1","1C31344B","Coll. Repair Paint App Sp","0059","Paint Application Specialist","Cypress College Degree","Cypress College Division"
"1","1C21094","Accounting","2001","Accounting","Cypress College Degree","Cypress College Division"
"1","1C12959N","Dance Teaching","0047","Dance Teaching","Cypress College Degree","Cypress College Division"
"2","2A03816","Nursery Management","5570","Nursery Management","Horticultre","Natural Science"
"1","1C12978","Digital Photography","0042","Digital Photography","Cypress College Degree","Cypress College Division"
"1","1C31329","Network Virtualization","3441","Network Virtualization","Cypress College Degree","Cypress College Division"
"1","1C32628","Microsoft Excel","0153","Microsoft Excel","Cypress College Degree","Cypress College Division"
"2","2A36481","Radio Broadcasting","5221","Radio Broadcasting","Journalism","Tech and Engineering"
"1","1S33954","Chemistry AS-T","0165","Chemistry AS-T","Cypress College Degree","Cypress College Division"
"2","2C36689","Cyber Security Analyst","8650","Cyber Security Analyst","Computer Information Systems","Business"
"2","2C10625A","Interior Design Assistant","7671","Interior Design Assistant","Interior Design","Tech and Engineering"
"1","1C03764","Marketing Certificate","2150","Marketing","Cypress College Degree","Cypress College Division"
"1","1A03781","Dance","0190","Dance","Cypress College Degree","Cypress College Division"
"1","1C33734","Basic Airport Operations","0172","Basic Airport Operations","Cypress College Degree","Cypress College Division"
"1","1C03786","Dental Assistant","2290","Dental Assistant","Cypress College Degree","Cypress College Division"
"2","2C15845","Cert:Greenhouse/Nursery Prod","7601","Greenhouse/Nursery Production","Horticultre","Natural Science"
"1","1C31332","Adv Coll Repr Structural Tech","0091","Adv Coll Repr Structural Tech","Cypress College Degree","Cypress College Division"
"2","2S03874","Geology","5529","Geology","Earth Sciences","Natural Science"
"2","2C35894","Advertising and Graphic Design","8391","Advertising and Graphic Design","Art","Fine Arts"
"1","1C07859","Advanced Travel/Tourism Cert","2820","Travel/Tourism","Cypress College Degree","Cypress College Division"
"2","2S36798","Chemistry AS-T","5142","Chemistry AS-T","Chemistry","Natural Science"
"1","1C30290","Digital Cinema Arts & Industry","0003","Digital Cinema Arts & Industry","Cypress College Degree","Cypress College Division"
"1","1C30458N","Basic Cruise Line Sales & Oper","0058","Basic Cruise Line Sales & Oper","Cypress College Degree","Cypress College Division"
"1","1C17169N","Homeland Transport Security","0111","Homeland Transport Security","Cypress College Degree","Cypress College Division"
"2","2C00046","Cert Machine Tech: Mastercam","7970","Machine Tech: Mastercam","Machine Technology","Tech and Engineering"
"1","1C37720","ESL Milestone-Pathway to SEM","5025","ESL Mlstn-Pathway to SEM","Cypress College Degree","Cypress College Division"
"2","2C21266B","Television and Film Production","7285","Television and Film Production","Cinema Film TV","Tech and Engineering"
"1","1C37708N","ESL Mlstn-Pathway to KIN","5028","ESL Mlstn-Pathway to KIN","Cypress College Degree","Cypress College Division"
"1","1C37105","Auto TTEN Perf & Drvblty Spec","8036","T-TEN Perf & Driveability Spec","Cypress College Degree","Cypress College Division"
"1","1C37110","Auto TTEN Toyota Lexus Spec","8035","Auto T-TEN Toyota & Lexus Spec","Cypress College Degree","Cypress College Division"
"1","1C31345","Coll Repair Mechanical Tech","0086","Coll Repair Mechanical Tech","Cypress College Degree","Cypress College Division"
"1","1A39449","Global Citizenship Studies","2996","Global Citizenship Studies","Cypress College Degree","Cypress College Division"
"1","1C21121","Hotel Operations","2752","Hospitality Management","Cypress College Degree","Cypress College Division"
"1","1C30331M","Microsoft Networking","0032","Microsoft Networking","Cypress College Degree","Cypress College Division"
"1","1C30335M","Web Programming","7369","Web Programming","Cypress College Degree","Cypress College Division"
"2","2C37146A","Computer Technician Analyst","7368","Computer Technician Analyst","Computer Information Systems","Business"
"1","1C35423A","UAV/UAS Advanced Certificate","3577","UAV/UAS Advanced Certificate","Cypress College Degree","Cypress College Division"
"1","1C37698","ESL Mlstn-Pathway to CTE ATC","5032","ESL Mlstn-Pthwy to AviaTraCar.","Cypress College Degree","Cypress College Division"
"2","2C40671A","Small Business Bookkeeping","7009","Small Business Bookkeeping","Business Management","Business"
"1","1S37218","Career Tech Ed Hmlnd Security","3412","Career Tech Ed Hmlnd Security","Cypress College Degree","Cypress College Division"
"1","1C42675N","ESL Mlstn-Pthwy CUL/Hospit Mgt","5042","ESL Mlstn-Pthwy CUL/Hospit Mgt","Cypress College Degree","Cypress College Division"
"2","2C36819A","Theme Park Technician","7884","Theme Park Technician","Theatre Arts","Fine Arts"
"1","1C12955M","Costume and Makeup Design","0012","Costume and Makeup Design","Cypress College Degree","Cypress College Division"
"2","2GS0026","IGETC for STEM","8611","IGETC for STEM","Counseling and Guidance","Counseling"
"2","2C40657","Advanced Bookkeeping","7003","Advanced Bookkeeping","Accounting","Business"
"2","2C40522","Finance Skills","7117","Finance Skills","Business Management","Business"
"2","2C21275A","Paralegal Studies","7780","Paralegal Studies","Paralegal Studies","Business"
"2","2C43847","ESL Cert Achv Writ Oral Comm","7253","ESL Cert Achv Writ Oral Comm","English","Humanities"
"2","2C37109","Marketing Management","7122","Marketing Management","Marketing","Business"
"1","1C33368N","Hearing Reporter","0164","Hearing Reporter","Cypress College Degree","Cypress College Division"
"1","1T40221","T-TEN Cert Technician Cert","2637","T-TEN Cert Technician Cert","Cypress College Degree","Cypress College Division"
"2","2C08416","Mach Tech: Comp Numeric Contro","7710","Machine Technology: CNC","Machine Technology","Tech and Engineering"
"1","1C21098","Marketing","2151","Marketing","Cypress College Degree","Cypress College Division"
"1","1C17168","Basic Tourism & Conference Mgt","0118","Basic Tourism & Conference Mgt","Cypress College Degree","Cypress College Division"
"1","1C17172","Business Economics","0051","Business Economics","Cypress College Degree","Cypress College Division"
"1","1C31347","Coll Repr Ctr Parts Manager","0131","Coll Repr Ctr Parts Manager","Cypress College Degree","Cypress College Division"
"1","1C30323","Automotive Service Advisor","0004","Automotive Service Advisor","Cypress College Degree","Cypress College Division"
"2","2C00041","Cert Auto: Engine Perform Spec","7954","Auto: Engine Perform Spec","Automotive","Tech and Engineering"
"2","2C37963","Auto: Emission Control Spec","7958","Auto: Emission Ctrl Spec","Automotive","Tech and Engineering"
"1","1C38578N","Community Health Worker","2941","Community Health Worker","Cypress College Degree","Cypress College Division"
"1","1C12953M","Geographic Info Sys/Marketing","0053","Geographic Info Sys/Marketing","Cypress College Degree","Cypress College Division"
"2","2C37106A","Web Design","7424","Web Design","Computer Information Systems","Business"
"1","1C15693N","2D Animation","3341","2D Animation","Cypress College Degree","Cypress College Division"
"2","2C21274A","Fashion Merchandising","7582","Fashion Merchandising","Fashion","Tech and Engineering"
"2","2C44381","Forensic Technician","8052","Forensic Technician","Biology","Natural Science"
"1","1C17140NA","Event Management","2212","Event Management","Cypress College Degree","Cypress College Division"
"2","2C40992","Individual Taxation","7011","Individual Taxation","Accounting","Business"
"2","2C21257A","Entrepreneurship","7104","Entrepreneurship","Business Management","Business"
"2","2C36698","CIS: Programming","7411","CIS: Programming","Computer Information Systems","Business"
"2","2C37099A","Computer Tech Apprentice Skill","7367","Computer Tech Apprentice Skill","Computer Information Systems","Business"
"2","2C40649A","Auto Transmission Spec","8769","Auto Transmission Spec","Automotive","Tech and Engineering"
"2","2A42097","Environmental Sustainability","5422","Environmental Sustainability","Geography","Social Science"
"1","1C31345N","Coll Repair Mechanical Tech","0086","Coll Repair Mechanical Tech","Cypress College Degree","Cypress College Division"
"1","1K00079","Specialty Microsoft Excel","3390","Microsoft Excel","Cypress College Degree","Cypress College Division"
"2","2C36687B","Fashion: Patternmaker","8283","Fashion: Patternmaker","Fashion","Tech and Engineering"
"1","2S08439","AS Cosmetology Instructor","5340","Cosmetology Instructor","Cosmetology","Tech and Engineering"
"2","2C10614A","Cert Group Fitness Instructor","7021","PE: Group Fitness Instructor","Physical Education","Physical Education"
"2","2A42306","Global Studies AA-T","5522","Global Studies AA-T","Sociology","Social Science"
"1","1A31353","Psychology AA-T","3550","Psychology","Cypress College Degree","Cypress College Division"
"2","2A18801","AA Child Dev & Educ Studies","5162","Child Develop & Educ Studies","Child Development and Education Studies","Social Science"
"1","1GE1501","CSU General Ed Cert Completed","0011","CSU General Ed Cert Completed","Cypress College Degree","Cypress College Division"
"2","2S08408","AS Computer Science","5290","Computer Science","Computer Science","Math and Computer Science"
"1","1C21121T","Hospitality Management","0284","Hospitality Management","Cypress College Degree","Cypress College Division"
"2","2S03876","AS Administration of Justice","5020","Administration of Justice","Administration of Justice","Tech and Engineering"
"2","2A18799","AA: Medical Technology","5701","Medical Technology","Health Sciences","Natural Science"
"1","1G35056","CSU General Education","0176","CSU Gen. Edu. (CSU GE Breadth)","Cypress College Degree","Cypress College Division"
"1","1S03787","Dental Hygiene","0210","Dental Hygiene","Cypress College Degree","Cypress College Division"
"2","2S03821","AS Microbiology","5711","Microbiology","Health Sciences","Natural Science"
"1","1C16598","Auto Toyota Specialist","2690","Auto Toyota Specialist","Cypress College Degree","Cypress College Division"
"2","2C21275","Cert Paralegal Studies","7781","Paralegal Studies","Paralegal Studies","Business"
"2","2A03869","AA Religious Studies","5880","Religious Studies","Philosophy and Religious Studies","Social Science"
"1","1C31192","Heat Pump","0079","Heat Pump","Cypress College Degree","Cypress College Division"
"1","1S03774","Air Conditioning/Refrigeration","0070","A/C & Refrigeration","Cypress College Degree","Cypress College Division"
"1","1C31186","Commercial Air Conditioning","0125","Commercial Air Conditioning","Cypress College Degree","Cypress College Division"
"1","1S03813","Culinary Arts","0180","Culinary Arts","Cypress College Degree","Cypress College Division"
"1","1A03769","Physical Education","0390","Physical Education","Cypress College Degree","Cypress College Division"
"1","1C17141M","Conflict Resolution","0054","Conflict Resolution","Cypress College Degree","Cypress College Division"
"1","1C10452","Family Studies","2520","Family Studies","Cypress College Degree","Cypress College Division"
